sep=;time (Quelle1)
0;93.3792114257813
0.012;93.3792114257813
0.032;93.3792114257813
0.057;93.3822631835938
0.08;93.3822631835938
0.101;93.3822631835938
0.125;93.3822631835938
0.15;93.3822631835938
0.178;93.3822631835938
0.202;93.3822631835938
0.227;93.3822631835938
0.251;93.3807373046875
0.27;93.3807373046875
0.3;93.3807373046875
0.319;93.3807373046875
0.35;93.3807373046875
0.374;93.3807373046875
0.399;93.3807373046875
0.425;93.3807373046875
0.446;93.3807373046875
0.467;93.3822631835938
0.494;93.3822631835938
0.518;93.3822631835938
0.541;93.3822631835938
0.563;93.3792114257813
0.586;93.3792114257813
0.612;93.3792114257813
0.637;93.3792114257813
0.659;93.3792114257813
0.685;93.3792114257813
0.706;93.3792114257813
0.733;93.3792114257813
0.763;93.3792114257813
0.797;93.3792114257813
0.81;93.3792114257813
0.839;93.3792114257813
0.858;93.3792114257813
0.886;93.377685546875
0.905;93.377685546875
0.929;93.377685546875
0.959;93.377685546875
0.982;93.377685546875
1;93.377685546875
1.028;93.377685546875
1.048;93.377685546875
1.074;93.3792114257813
1.104;93.3792114257813
1.123;93.3792114257813
1.151;93.3792114257813
1.181;93.3792114257813
1.199;93.3792114257813
1.22;93.3792114257813
1.25;93.3792114257813
1.268;93.3792114257813
1.3;93.377685546875
1.325;93.377685546875
1.348;93.377685546875
1.369;93.377685546875
1.391;93.3792114257813
1.414;93.3792114257813
1.437;93.3792114257813
1.465;93.3792114257813
1.49;93.3807373046875
1.518;93.3807373046875
1.537;93.3807373046875
1.559;93.3807373046875
1.592;93.3807373046875
1.612;93.3807373046875
1.63;93.3807373046875
1.658;93.3807373046875
1.689;93.3807373046875
1.705;93.3822631835938
1.731;93.3822631835938
1.756;93.3822631835938
1.776;93.3822631835938
1.804;93.3822631835938
1.828;93.3822631835938
1.849;93.3822631835938
1.871;93.3822631835938
1.907;93.3822631835938
1.932;93.3822631835938
1.955;93.3822631835938
1.975;93.3822631835938
1.999;93.3822631835938
2.019;93.3822631835938
2.05;93.3822631835938
2.069;93.3822631835938
2.091;93.3822631835938
2.117;93.3822631835938
2.149;93.3822631835938
2.169;93.3822631835938
2.192;93.3822631835938
2.215;93.3822631835938
2.24;93.3822631835938
2.262;93.3822631835938
2.293;93.3822631835938
2.314;93.3807373046875
2.336;93.3807373046875
2.359;93.3807373046875
2.382;93.3807373046875
2.404;93.3807373046875
2.431;93.3807373046875
2.455;93.3807373046875
2.475;93.3807373046875
2.509;93.3807373046875
2.523;93.3807373046875
2.555;93.3807373046875
2.578;93.3807373046875
2.597;93.3807373046875
2.623;93.3822631835938
2.644;93.3822631835938
2.674;93.3822631835938
2.696;93.3822631835938
2.721;93.3822631835938
2.747;93.3822631835938
2.766;93.3822631835938
2.793;93.3822631835938
2.814;93.3822631835938
2.845;93.3822631835938
2.864;93.3822631835938
2.894;93.3822631835938
2.913;93.3822631835938
2.934;93.3822631835938
2.963;93.3822631835938
2.988;93.3822631835938
3.014;93.3822631835938
3.035;93.3822631835938
3.055;93.3822631835938
3.087;93.3822631835938
3.107;93.3822631835938
3.132;93.3822631835938
3.154;93.3822631835938
3.178;93.3822631835938
3.201;93.3822631835938
3.222;93.3822631835938
3.249;93.3822631835938
3.275;93.3822631835938
3.297;93.3822631835938
3.317;93.3822631835938
3.342;93.3822631835938
3.37;93.3822631835938
3.39;93.3822631835938
3.418;93.3822631835938
3.44;93.3807373046875
3.464;93.3807373046875
3.488;93.3807373046875
3.513;93.3807373046875
3.539;93.3822631835938
3.561;93.3822631835938
3.584;93.3822631835938
3.611;93.3822631835938
3.632;93.3822631835938
3.656;93.3807373046875
3.677;93.3807373046875
3.704;93.3807373046875
3.726;93.3807373046875
3.753;93.3822631835938
3.774;93.3822631835938
3.799;93.3822631835938
3.863;93.3822631835938
3.887;93.3807373046875
3.888;93.3807373046875
3.916;93.3807373046875
3.923;93.3807373046875
3.944;93.3807373046875
3.966;93.3792114257813
3.991;93.3792114257813
4.018;93.3792114257813
4.039;93.3792114257813
4.063;93.377685546875
4.086;93.377685546875
4.112;93.377685546875
4.137;93.377685546875
4.158;93.377685546875
4.182;93.377685546875
4.216;93.377685546875
4.238;93.377685546875
4.259;93.377685546875
4.282;93.377685546875
4.313;93.377685546875
4.332;93.377685546875
4.353;93.377685546875
4.375;93.3792114257813
4.404;93.3792114257813
4.423;93.3792114257813
4.455;93.3792114257813
4.476;93.3792114257813
4.496;93.3792114257813
4.525;93.3792114257813
4.544;93.3792114257813
4.574;93.377685546875
4.594;93.377685546875
4.614;93.377685546875
4.643;93.377685546875
4.663;93.377685546875
4.691;93.3792114257813
4.712;93.3792114257813
4.746;93.3792114257813
4.763;93.3792114257813
4.783;93.3792114257813
4.812;93.3792114257813
4.834;93.3792114257813
4.854;93.3792114257813
4.882;93.377685546875
4.902;93.377685546875
4.928;93.377685546875
4.95;93.377685546875
4.978;93.377685546875
4.999;93.377685546875
5.025;93.377685546875
5.052;93.377685546875
5.073;93.377685546875
5.097;93.3792114257813
5.123;93.3792114257813
5.148;93.3792114257813
5.171;93.3792114257813
5.195;93.377685546875
5.219;93.377685546875
5.241;93.377685546875
5.267;93.377685546875
5.29;93.3792114257813
5.313;93.3792114257813
5.34;93.3792114257813
5.363;93.3792114257813
5.387;93.377685546875
5.413;93.377685546875
5.435;93.377685546875
5.461;93.377685546875
5.482;93.377685546875
5.509;93.3792114257813
5.532;93.3792114257813
5.56;93.3792114257813
5.583;93.3792114257813
5.606;93.3792114257813
5.633;93.3792114257813
5.655;93.3792114257813
